Year,Count points,Pedal Cycles,Motorcycles,Cars,Buses and Coaches,Light Goods Vehicles,All HGVs,All Motor Vehicles
2000,"	118","	1829","	4197","	935727","	        19197","	120022","	72182","	1152324"
2001,"	118","	1976","	4495","	950044","	        19698","	125213","	71345","	1170794"
2002,"	118","	2007","	4771","	975271","	        20767","	127144","	70991","	1198946"
2003,"	118","	2141","	5648","	963936","	        19331","	133488","	71984","	1194387"
2004,"	118","	1715","	4354","	1006914","	16296","	141136","	78108","	1246808"
2005,"	127","	1383","	4174","	1004468","	17025","	148306","	80161","	1254133"
2006,"	133","	1729","	4257","	1010355","	17861","	153059","	81516","	1267048"
2007,"	133","	1148","	4373","	1015887","	17076","	158280","	80477","	1276093"
2008,"	133","	1634","	4339","	1023497","	17290","	161291","	80944","	1287362"
2009,"	133","	1898","	4727","	1044660","	15243","	158558","	74673","	1296861"
2010,"	133","	2059","	4421","	1028489","	17147","	159741","	74253","	1284051"
2011,"	134","	2418","	4182","	1030061","	17872","	164337","	71956","	1374672"
2012,"	179","	2581","	4360","	1090425","	18617","	176807","	83464","	1373672"
2013,"	186","	2745","	4759","	1121681","	19432","	186544","	86694","	1419293"
2014,"	185","	2674","	4352","	1121856","	17990","	189929","	83166","	1417293"
2015,"	184","	2625","	4060","	1108334","	17406","	189519","	79720","	1399039"
2016,"	182","	2493","	4054","	1135713","	16154","	198249","	82448","	1437619"
2017,"	183","	2437","	3860","	1132339","	15130","	211005","	85497","	1447892"
